continent,country_code,latitude,longitude,temperature,max_temperature,min_temperature,humidity,wind_speed,precipitation,uv_index,condition,event_type,year,month,day
nar,USA,65.8812,-152.2179,0.6,3.0,-3.1,97,8.3,0.03,1,Light snow,EQ,2024,5,9
nar,MEX,18.5,-99.0,28.2,36.6,20.0,31,21.2,1.85,8,Patchy rain possible,DR,2024,5,9
nar,CAN,53.5,-116.0,12.8,22.2,3.8,46,15.1,0.0,6,Sunny,DR,2024,5,9
nar,USA,36.5233,-115.54,13.5,20.1,6.8,24,15.8,0.0,6,Sunny,EQ,2024,4,9
nar,USA,37.2825,-119.999,14.8,21.5,8.8,61,8.3,0.0,6,Sunny,EQ,2024,4,9
nar,USA,38.1864,-116.7175,9.3,15.6,2.6,31,25.9,0.0,5,Sunny,EQ,2024,4,9
nar,USA,37.715,-122.542336,13.3,17.2,10.8,72,15.1,0.0,5,Sunny,EQ,2024,4,9
nar,USA,48.046167,-114.061667,3.4,5.4,0.6,87,14.8,5.79,2,Light rain shower,EQ,2024,4,9
nar,USA,36.4477,-115.3007,15.9,21.4,9.5,19,22.3,0.0,6,Sunny,EQ,2024,4,9
nar,USA,28.575,-98.445,15.7,19.3,12.5,50,30.6,0.0,5,Partly cloudy,EQ,2024,3,9
nar,USA,42.1375,-119.028167,-1.8,2.3,-5.9,84,34.9,0.51,1,Moderate or heavy snow showers,EQ,2024,3,9
nar,USA,45.370333,-112.592,-4.5,1.6,-8.9,62,13.7,0.0,2,Sunny,EQ,2024,3,9
nar,USA,36.230667,-95.839167,8.1,12.2,4.9,53,30.6,3.65,3,Overcast,EQ,2024,3,9
nar,USA,63.3525,-152.6917,-21.1,-14.9,-26.3,95,9.4,0.24,1,Light snow,EQ,2024,3,9
nar,USA,47.791833,-114.357333,-0.7,5.2,-5.3,74,14.4,0.02,2,Patchy rain possible,EQ,2024,3,9
nar,MEX,23.02420857,-109.717,19.9,25.4,15.8,60,11.9,0.0,7,Sunny,EQ,2024,3,9
nar,USA,44.688167,-110.4525,-10.4,-0.1,-18.8,86,13.0,0.03,1,Mist,EQ,2024,3,9
nar,USA,46.2905,-122.165,4.0,5.4,2.0,92,22.0,13.07,2,Light rain shower,EQ,2024,3,9
nar,USA,39.566833,-111.214,-3.0,1.9,-7.4,55,8.3,0.0,2,Sunny,EQ,2024,3,9
nar,USA,43.716333,-121.234833,-1.5,0.0,-2.7,82,41.4,2.21,1,Moderate or heavy snow showers,EQ,2024,3,9
nar,USA,61.4526,-146.1767,-8.3,-5.7,-11.3,86,19.1,3.02,1,Heavy snow,EQ,2024,3,9
nar,USA,34.883833,-85.036167,14.3,17.9,8.9,89,22.3,12.69,4,Light rain shower,EQ,2024,3,9
nar,USA,46.827667,-112.3825,-1.9,4.5,-7.3,71,14.0,0.0,1,Overcast,EQ,2024,3,9
nar,USA,44.627333,-112.606667,-8.9,-0.8,-15.4,74,20.5,0.0,2,Sunny,EQ,2024,3,9
nar,USA,36.695667,-97.674167,6.1,11.7,1.2,54,29.5,0.0,4,Sunny,EQ,2024,3,9
nar,USA,38.493667,-112.879833,2.7,10.3,-3.8,40,17.3,0.0,4,Sunny,EQ,2024,3,9
nar,USA,64.9043,-149.1394,-13.1,-9.0,-16.9,90,18.0,0.22,1,Light snow,EQ,2024,2,9
nar,USA,60.4365,-145.7364,1.4,2.0,-0.4,89,48.6,45.12,1,Heavy snow,EQ,2024,2,9
nar,USA,43.26927957,-115.672065,1.9,4.5,0.0,64,27.0,0.18,1,Light snow showers,WF,2024,2,9
nar,USA,33.715167,-118.618833,12.5,14.3,11.1,62,19.4,0.06,3,Patchy rain possible,EQ,2024,2,9
nar,CAN,48.441502,-123.448997,4.1,5.7,2.4,84,10.1,0.53,2,Patchy rain possible,EQ,2024,2,9
nar,USA,47.579,-120.287333,-0.2,6.0,-3.5,67,9.0,0.01,3,Partly cloudy,EQ,2024,2,9
nar,USA,36.467167,-121.043999,4.9,11.0,0.5,75,16.6,0.03,4,Partly cloudy,EQ,2024,2,9
nar,USA,64.7852,-147.3752,-12.2,-7.4,-17.6,92,7.2,0.19,1,Moderate snow,EQ,2024,2,9
nar,USA,62.2347,-154.2832,-17.7,-11.0,-24.0,96,12.6,0.07,1,Light freezing rain,EQ,2024,1,9
nar,USA,47.689,-124.039333,6.4,10.3,5.6,83,49.7,19.04,3,Moderate or heavy rain with thunder,EQ,2024,1,9
nar,USA,40.787834,-123.554001,1.3,3.7,-6.5,98,7.9,7.3,1,Light rain,EQ,2024,1,9
nar,USA,36.30310857,-106.734,-9.9,-1.1,-16.2,70,14.0,0.0,2,Sunny,EQ,2024,1,9
nar,CAN,46.09280857,-72.7553,-7.8,-2.3,-11.6,87,26.3,5.22,1,Overcast,EQ,2024,1,9
nar,USA,47.39940857,-113.1597,-7.9,-0.6,-14.4,88,33.8,6.08,1,Light snow showers,EQ,2024,1,9
nar,USA,33.8355,-82.147167,11.5,18.1,5.8,92,40.0,80.75,4,Light rain shower,EQ,2024,1,9
