,event_type,event_name,date,lat,lng,continent,country_code,created_time,date,latitude,longitude,temperature,max_temperature,min_temperature,humidity,wind_speed,precipitation,cloud_cover,uv_index,condition,visibility
0,EQ,NORTHERN ALASKA,2024-05-09,65.8812,-152.2179,nar,USA,05-09-2024 14:35,2024-05-09,65.8812,-152.2179,0.6,3.0,-3.1,97,8.3,0.03,Null,1.0,Light snow,Null
1,DR,"Drought in Guatemala, Honduras, Mexico, Nicaragua",2024-05-09,18.5,-99.0,nar,MEX,05-09-2024 14:35,2024-05-09,18.5,-99.0,28.2,36.6,20.0,31,21.2,1.85,Null,8.0,Patchy rain possible,Null
2,DR,Drought in Canada,2024-05-09,53.5,-116.0,nar,CAN,05-09-2024 14:35,2024-05-09,53.5,-116.0,12.8,22.2,3.8,46,15.1,0.0,Null,6.0,Sunny,Null
3,EQ,CALIFORNIA-NEVADA BORDER REGION,2024-04-09,36.5233,-115.54,nar,USA,05-09-2024 14:35,2024-04-09,36.5233,-115.54,13.5,20.1,6.8,24,15.8,0.0,Null,6.0,Sunny,Null
4,EQ,CENTRAL CALIFORNIA,2024-04-09,37.2825,-119.999,nar,USA,05-09-2024 14:35,2024-04-09,37.2825,-119.999,14.8,21.5,8.8,61,8.3,0.0,Null,6.0,Sunny,Null
5,EQ,NEVADA,2024-04-09,38.1864,-116.7175,nar,USA,04-09-2024 14:34,2024-04-09,38.1864,-116.7175,9.3,15.6,2.6,31,25.9,0.0,Null,5.0,Sunny,Null
6,EQ,CENTRAL CALIFORNIA,2024-04-09,37.715,-122.542336,nar,USA,05-09-2024 14:35,2024-04-09,37.715,-122.542336,13.3,17.2,10.8,72,15.1,0.0,Null,5.0,Sunny,Null
7,EQ,MONTANA,2024-04-09,48.046167,-114.061667,nar,USA,05-09-2024 14:35,2024-04-09,48.046167,-114.061667,3.4,5.4,0.6,87,14.8,5.79,Null,2.0,Light rain shower,Null
8,EQ,CALIFORNIA-NEVADA BORDER REGION,2024-04-09,36.4477,-115.3007,nar,USA,05-09-2024 14:35,2024-04-09,36.4477,-115.3007,15.9,21.4,9.5,19,22.3,0.0,Null,6.0,Sunny,Null
9,EQ,SOUTHERN TEXAS,2024-03-09,28.575,-98.445,nar,USA,05-09-2024 14:35,2024-03-09,28.575,-98.445,15.7,19.3,12.5,50,30.6,0.0,Null,5.0,Partly cloudy,Null
10,EQ,OREGON,2024-03-09,42.1375,-119.028167,nar,USA,05-09-2024 14:35,2024-03-09,42.1375,-119.028167,-1.8,2.3,-5.9,84,34.9,0.51,Null,1.0,Moderate or heavy snow showers,Null
11,EQ,MONTANA,2024-03-09,45.370333,-112.592,nar,USA,05-09-2024 14:35,2024-03-09,45.370333,-112.592,-4.5,1.6,-8.9,62,13.7,0.0,Null,2.0,Sunny,Null
12,EQ,OKLAHOMA,2024-03-09,36.230667,-95.839167,nar,USA,05-09-2024 14:35,2024-03-09,36.230667,-95.839167,8.1,12.2,4.9,53,30.6,3.65,Null,3.0,Overcast,Null
