date,event_name,continent,country_code,latitude,longitude,temperature,max_temperature,min_temperature,humidity,wind_speed,precipitation,uv_index,condition,event_type
05-09-2024,NORTHERN ALASKA,nar,USA,65.8812,-152.2179,0.6,3,-3.1,97,8.3,0.03,1,Light snow,EQ
05-09-2024,"Drought in Guatemala, Honduras, Mexico, Nicaragua",nar,MEX,18.5,-99,28.2,36.6,20,31,21.2,1.85,8,Patchy rain possible,DR
05-09-2024,Drought in Canada,nar,CAN,53.5,-116,12.8,22.2,3.8,46,15.1,0,6,Sunny,DR
04-09-2024,CALIFORNIA-NEVADA BORDER REGION,nar,USA,36.5233,-115.54,13.5,20.1,6.8,24,15.8,0,6,Sunny,EQ
04-09-2024,CENTRAL CALIFORNIA,nar,USA,37.2825,-119.999,14.8,21.5,8.8,61,8.3,0,6,Sunny,EQ
04-09-2024,NEVADA,nar,USA,38.1864,-116.7175,9.3,15.6,2.6,31,25.9,0,5,Sunny,EQ
04-09-2024,CENTRAL CALIFORNIA,nar,USA,37.715,-122.542336,13.3,17.2,10.8,72,15.1,0,5,Sunny,EQ
04-09-2024,MONTANA,nar,USA,48.046167,-114.061667,3.4,5.4,0.6,87,14.8,5.79,2,Light rain shower,EQ
04-09-2024,CALIFORNIA-NEVADA BORDER REGION,nar,USA,36.4477,-115.3007,15.9,21.4,9.5,19,22.3,0,6,Sunny,EQ
03-09-2024,SOUTHERN TEXAS,nar,USA,28.575,-98.445,15.7,19.3,12.5,50,30.6,0,5,Partly cloudy,EQ
03-09-2024,OREGON,nar,USA,42.1375,-119.028167,-1.8,2.3,-5.9,84,34.9,0.51,1,Moderate or heavy snow showers,EQ
03-09-2024,MONTANA,nar,USA,45.370333,-112.592,-4.5,1.6,-8.9,62,13.7,0,2,Sunny,EQ
03-09-2024,OKLAHOMA,nar,USA,36.230667,-95.839167,8.1,12.2,4.9,53,30.6,3.65,3,Overcast,EQ
03-09-2024,CENTRAL ALASKA,nar,USA,63.3525,-152.6917,-21.1,-14.9,-26.3,95,9.4,0.24,1,Light snow,EQ
03-09-2024,MONTANA,nar,USA,47.791833,-114.357333,-0.7,5.2,-5.3,74,14.4,0.02,2,Patchy rain possible,EQ
03-09-2024,"M 4.4 - 8 km S of San José del Cabo, Mexico",nar,MEX,23.02420857,-109.717,19.9,25.4,15.8,60,11.9,0,7,Sunny,EQ
