date,event_name,lat,lng,continent,country_code,temperature,max_temperature,min_temperature,humidity,wind_speed,precipitation,uv_index,condition,event_type
09-05-2024,NORTHERN ALASKA,65.8812,-152.2179,nar,USA,0.6,3,-3.1,97,8.3,0.03,1,Light snow,EQ
09-05-2024,"Drought in Guatemala, Honduras, Mexico, Nicaragua",18.5,-99,nar,MEX,28.2,36.6,20,31,21.2,1.85,8,Patchy rain possible,DR
09-05-2024,Drought in Canada,53.5,-116,nar,CAN,12.8,22.2,3.8,46,15.1,0,6,Sunny,DR
09-04-2024,CALIFORNIA-NEVADA BORDER REGION,36.5233,-115.54,nar,USA,13.5,20.1,6.8,24,15.8,0,6,Sunny,EQ
09-04-2024,CENTRAL CALIFORNIA,37.2825,-119.999,nar,USA,14.8,21.5,8.8,61,8.3,0,6,Sunny,EQ
09-04-2024,NEVADA,38.1864,-116.7175,nar,USA,9.3,15.6,2.6,31,25.9,0,5,Sunny,EQ
09-04-2024,CENTRAL CALIFORNIA,37.715,-122.542336,nar,USA,13.3,17.2,10.8,72,15.1,0,5,Sunny,EQ
09-04-2024,MONTANA,48.046167,-114.061667,nar,USA,3.4,5.4,0.6,87,14.8,5.79,2,Light rain shower,EQ
09-04-2024,CALIFORNIA-NEVADA BORDER REGION,36.4477,-115.3007,nar,USA,15.9,21.4,9.5,19,22.3,0,6,Sunny,EQ
09-03-2024,SOUTHERN TEXAS,28.575,-98.445,nar,USA,15.7,19.3,12.5,50,30.6,0,5,Partly cloudy,EQ
09-03-2024,OREGON,42.1375,-119.028167,nar,USA,-1.8,2.3,-5.9,84,34.9,0.51,1,Moderate or heavy snow showers,EQ
09-03-2024,MONTANA,45.370333,-112.592,nar,USA,-4.5,1.6,-8.9,62,13.7,0,2,Sunny,EQ
09-03-2024,OKLAHOMA,36.230667,-95.839167,nar,USA,8.1,12.2,4.9,53,30.6,3.65,3,Overcast,EQ
09-03-2024,CENTRAL ALASKA,63.3525,-152.6917,nar,USA,-21.1,-14.9,-26.3,95,9.4,0.24,1,Light snow,EQ
09-03-2024,MONTANA,47.791833,-114.357333,nar,USA,-0.7,5.2,-5.3,74,14.4,0.02,2,Patchy rain possible,EQ
09-03-2024,"M 4.4 - 8 km S of San José del Cabo, Mexico",23.02420857,-109.717,nar,MEX,19.9,25.4,15.8,60,11.9,0,7,Sunny,EQ
09-03-2024,"YELLOWSTONE REGION, WYOMING",44.688167,-110.4525,nar,USA,-10.4,-0.1,-18.8,86,13,0.03,1,Mist,EQ
09-03-2024,WASHINGTON,46.2905,-122.165,nar,USA,4,5.4,2,92,22,13.07,2,Light rain shower,EQ
09-03-2024,UTAH,39.566833,-111.214,nar,USA,-3,1.9,-7.4,55,8.3,0,2,Sunny,EQ
09-03-2024,OREGON,43.716333,-121.234833,nar,USA,-1.5,0,-2.7,82,41.4,2.21,1,Moderate or heavy snow showers,EQ
09-03-2024,SOUTHERN ALASKA,61.4526,-146.1767,nar,USA,-8.3,-5.7,-11.3,86,19.1,3.02,1,Heavy snow,EQ
09-03-2024,ALABAMA,34.883833,-85.036167,nar,USA,14.3,17.9,8.9,89,22.3,12.69,4,Light rain shower,EQ
09-03-2024,MONTANA,46.827667,-112.3825,nar,USA,-1.9,4.5,-7.3,71,14,0,1,Overcast,EQ
09-03-2024,EASTERN IDAHO,44.627333,-112.606667,nar,USA,-8.9,-0.8,-15.4,74,20.5,0,2,Sunny,EQ
09-03-2024,OKLAHOMA,36.695667,-97.674167,nar,USA,6.1,11.7,1.2,54,29.5,0,4,Sunny,EQ
09-03-2024,UTAH,38.493667,-112.879833,nar,USA,2.7,10.3,-3.8,40,17.3,0,4,Sunny,EQ
09-02-2024,CENTRAL ALASKA,64.9043,-149.1394,nar,USA,-13.1,-9,-16.9,90,18,0.22,1,Light snow,EQ
09-02-2024,SOUTHERN ALASKA,60.4365,-145.7364,nar,USA,1.4,2,-0.4,89,48.6,45.12,1,Heavy snow,EQ
09-02-2024,"SYRUP Wildfire, Elmore, Idaho",43.26927957,-115.672065,nar,USA,1.9,4.5,0,64,27,0.18,1,Light snow showers,WF
09-02-2024,M 4.8 - off the coast of Central America,3.28030857,-84.1767,nar,PAN,Null,Null,Null,Null,Null,Null,Null,Null,EQ
09-02-2024,SOUTHERN CALIFORNIA,33.715167,-118.618833,nar,USA,12.5,14.3,11.1,62,19.4,0.06,3,Patchy rain possible,EQ
09-02-2024,"VANCOUVER ISLAND, CANADA REGION",48.441502,-123.448997,nar,CAN,4.1,5.7,2.4,84,10.1,0.53,2,Patchy rain possible,EQ
09-02-2024,WASHINGTON,47.579,-120.287333,nar,USA,-0.2,6,-3.5,67,9,0.01,3,Partly cloudy,EQ
09-02-2024,CENTRAL CALIFORNIA,36.467167,-121.043999,nar,USA,4.9,11,0.5,75,16.6,0.03,4,Partly cloudy,EQ
09-02-2024,CENTRAL ALASKA,64.7852,-147.3752,nar,USA,-12.2,-7.4,-17.6,92,7.2,0.19,1,Moderate snow,EQ
